date,yield_close,daily_change,tot_vol,maturity_month,maturity_year
2022-08-17,3.96,0.01,27.32,7,2032
2022-08-18,3.96,0.0,66.7,7,2032
2022-08-19,3.96,0.0,20.0,7,2032
2022-08-22,3.98,0.02,160.1,7,2032
2022-08-23,3.99,0.01,36.13,7,2032
2022-08-24,3.98,-0.01,30.0,7,2032
2022-08-25,3.96,-0.02,52.6,7,2032
2022-08-26,3.96,0.0,86.91,7,2032
2022-08-29,4.02,0.06,315.58,7,2032
2022-08-30,3.98,-0.04,364.79,7,2032
2022-09-01,4.0,0.02,230.45,7,2032
2022-09-02,4.03,0.03,180.1,7,2032
2022-09-05,4.03,0.0,197.5,7,2032
2022-09-06,4.03,0.0,0.28,7,2032
2022-09-07,4.11,0.08,354.27,7,2032
2022-09-08,4.05,-0.06,123.11,7,2032
2022-09-09,4.03,-0.02,35.2,7,2032
2022-09-12,4.06,0.03,20.03,7,2032
2022-09-13,4.02,-0.04,116.73,7,2032
2022-09-14,4.11,0.07,180.0,7,2032
2022-09-15,4.13,0.02,307.11,7,2032
2022-09-19,4.2,0.07,159.19,7,2032
2022-09-20,4.18,-0.02,168.02,7,2032
2022-09-21,4.2,0.02,170.55,7,2032
2022-09-22,4.24,0.04,72.91,7,2032
2022-09-23,4.27,0.03,117.55,7,2032
2022-09-26,4.34,0.07,31.5,7,2032
2022-09-28,4.42,0.08,7.62,7,2032
2022-09-29,4.43,0.01,135.64,7,2032
2022-09-30,4.41,-0.02,250.58,7,2032
2022-10-03,4.45,0.04,14.21,7,2032
2022-10-04,4.34,-0.11,82.0,7,2032
2022-10-05,4.32,-0.02,46.5,7,2032
2022-10-06,4.38,0.06,9.52,7,2032
2022-10-07,4.33,-0.05,0.44,7,2032
2022-10-11,4.43,0.1,52.1,7,2032
2022-10-13,4.45,0.02,34.51,7,2032
2022-10-14,4.46,0.01,15.15,7,2032
2022-10-17,4.48,0.02,38.09,7,2032
2022-10-18,4.46,-0.02,59.4,7,2032
2022-10-19,4.45,-0.01,67.0,7,2032
2022-10-20,4.5,0.05,0.78,7,2032
2022-10-21,4.57,0.07,145.41,7,2032
2022-10-25,4.52,-0.05,1.44,7,2032
2022-10-26,4.39,-0.13,71.04,7,2032
2022-10-27,4.33,-0.06,12.69,7,2032
2022-10-31,4.37,0.04,135.09,7,2032
2022-11-01,4.31,-0.06,14.98,7,2032
